Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,is_pseudo
29022.38131,142,130,2199.097308,9896.378872,602.216068,1430.422191,1201.896195,331.9288,353.927213,21.097779,1255.914798,33.9689,476813.942589,2569.145063,15855.678053,2948.486116,34269.26709,993.6841,924.6968,820.4301,945.3411,4860.439225,80.5086,352.979,595.4421,606.6021,4059.776451,15.047,0,1,1,1,172,200,2044.897252,233.870894,1226.920643,1165.036863,396.9574,418.7593,87288.264143,5,3,5,5,3,3,1,2,1.7106,645.227951,1445.502816,1056.420046,6685,22,8254,6729,49,6161,39,13346,3,3020,28978,-1,7,1492,11219.394581,4347.321783,40941.359821,10.7693,3751.927131,12069.03691,55730.348263,0.0,BENIGN,True
16601.621298,51,191,18541.753932,8064.905108,1480.692114,1197.405151,593.66632,22.2103,487.451449,532.955474,1058.58875,459.6898,348689.523245,7985.317364,14448.521198,6653.364333,6682.974908,757.8949,189.3625,624.1349,465.3833,3085.179215,59.7731,277.8214,716.2697,21.638,1242.304586,81.3571,1,0,0,0,155,88,8650.240608,2057.59103,988.701336,662.887633,1046.094682,169.5855,246432.678739,4,3,0,1,3,5,4,2,6.3763,360.892616,935.54535,171.931956,8417,30,3370,4871,34,962,9,7558,25,12762,-1,-1,4,1203,469.860013,13280.703255,28651.588317,37.8976,4753.720919,19012.520279,42629.06973,0.0,BENIGN,True
21684.827769,167,23,16780.361611,9365.759561,1208.6081,283.790535,1399.205362,305.0756,1147.146811,720.360473,791.265646,153.2344,353505.935826,1989.073106,5097.557267,17030.084929,2247.369849,361.2009,530.6009,913.2511,309.7401,2706.794367,33.4096,84.6788,279.6779,878.239,2354.528897,87.1338,1,0,0,0,88,143,7542.342843,8065.028325,104.702802,196.708946,959.951322,309.5818,119583.726796,1,3,5,3,4,2,2,5,0.1332,1092.158634,1437.224789,52.111308,7492,14,5637,9473,3,3403,45,18027,40,18910,-1,59448,5,916,9374.616518,17150.056202,5758.600048,63.5169,500.583097,17601.934605,21334.51082,0.0,BENIGN,True
5302.513321,38,194,12802.187626,17763.902187,13.169407,484.139048,915.786713,306.0182,87.000675,726.26778,477.509146,329.5176,298468.610955,9828.138453,4746.624788,2048.955975,47932.664876,183.426,88.752,29.6717,403.2998,1539.95637,18.6218,269.8002,644.4772,675.829,2830.564297,13.3268,0,0,0,1,173,193,6761.507737,8886.72226,511.444091,1053.360665,1050.096139,478.1099,91751.877319,3,2,0,1,5,4,3,0,3.2148,831.758494,378.168299,1018.858218,3431,54,5217,4332,70,58,26,3938,45,13414,-1,24076,5,1468,7814.423838,4456.625246,44808.242073,97.6976,7457.871816,3760.520073,50711.101691,0.0,BENIGN,True
56995.394571,179,45,8297.417503,15031.743234,733.829388,1431.791674,519.20538,254.3455,31.879657,886.601595,1140.901507,91.4316,138476.383516,7911.994558,9491.195829,5219.408515,689.37155,484.1906,773.652,434.3872,623.1357,469.352866,7.8332,375.3744,285.3662,844.6652,116.421313,3.599,0,0,1,0,57,59,529.085108,6286.222536,1430.875353,894.849351,605.362402,132.2545,127020.697114,3,2,0,0,5,1,3,3,4.0298,466.480206,162.077753,458.310365,2583,78,5222,4987,22,7009,12,18232,4,3361,21412,7930,5,958,5883.153714,7489.097592,38537.54657,52.4365,11598.063593,17381.580376,5295.735368,0.0,BENIGN,True
10040.445958,125,158,521.479092,11326.706917,1199.212677,1303.129401,1259.031671,6.2362,674.504736,42.0439,1233.65074,285.2687,21570.31792,3083.244674,4829.404566,16109.590911,18942.280395,710.9972,511.4974,261.6301,437.5607,1640.025414,29.9154,392.5974,751.2722,784.4243,897.845277,64.1649,0,1,1,1,96,149,1116.256992,4789.165879,1313.498758,41.104543,1338.538113,163.1219,55970.546564,1,5,3,5,0,0,4,5,3.6359,365.421434,1147.110121,953.384038,9376,49,5949,7711,61,5363,44,9712,24,13568,47673,-1,2,1467,13102.97738,2340.373966,22034.904568,43.8702,10798.112677,15226.268433,41822.546257,0.0,BENIGN,True
46596.622769,200,47,173.618828,103.828688,506.069692,19.39422,648.392031,490.8719,1111.423519,1338.850459,220.97628,400.2545,166844.517152,4118.794797,10511.888008,12129.764656,46240.710603,99.201,852.0583,949.2692,438.7947,268.697442,45.6252,790.0412,624.6497,244.9211,526.555418,72.2878,1,0,0,0,28,21,2483.768066,843.902598,65.144333,1237.815066,402.635966,489.0775,125072.334482,5,2,0,1,3,3,3,4,1.1465,89.835535,400.215923,939.695332,5160,17,2766,5111,64,12,20,90,0,19148,-1,-1,0,39,5083.923737,13909.817468,32015.551217,31.8977,11135.949812,4779.817846,50471.382314,0.0,BENIGN,True
43215.383043,110,39,10150.309275,9716.961353,395.904691,1257.121728,326.581661,65.2541,899.987935,929.169048,964.049,198.3886,206841.761049,3756.81346,6157.638654,9253.083986,53935.127123,681.6789,733.2475,178.1317,594.9917,2925.280075,68.9687,975.8254,829.3555,391.0214,717.423062,21.5563,1,0,1,1,114,190,4734.282352,4068.392823,639.950685,1201.962716,235.427749,172.416,108715.964935,5,3,2,4,5,5,0,0,1.024,565.936776,1287.828219,132.71022,3397,36,634,1715,90,6450,18,5937,37,11282,43319,-1,8,1147,2638.212906,18158.162533,51475.961614,36.0515,6458.726739,1835.171527,2191.870559,0.0,BENIGN,True
14763.352598,143,138,12010.924236,15320.970555,963.49535,1485.524213,919.571044,149.9923,1289.961769,1381.716654,331.268743,400.7165,316095.058385,305.275095,1203.126961,13417.602416,19509.17742,794.2499,490.3255,869.3572,76.9042,2803.741711,87.2157,451.8297,95.1069,263.5468,3967.444394,11.0279,1,0,0,0,183,104,2366.916751,827.120835,990.869635,1192.1116,967.779299,234.7668,77295.798284,3,3,1,1,1,1,2,1,0.8053,803.149978,45.17291,767.597875,2475,52,6267,9402,39,6560,19,16153,5,2644,48408,54075,6,1012,12923.04838,7296.005662,16013.008058,78.8266,6559.295639,14758.916689,20574.283483,0.0,BENIGN,True
53363.36436,173,97,12876.967532,16622.118674,1136.174129,724.274973,326.97757,310.6037,55.535046,1039.59823,105.164425,406.4357,114468.655541,9967.296521,8305.340962,10196.067038,39474.425862,440.8175,378.9538,206.1223,208.1329,1217.814964,59.271,880.4946,230.917,614.6636,1206.559696,5.3651,0,0,0,1,26,199,8226.303525,1243.536178,837.158765,570.429533,1212.837095,182.6819,24384.39074,2,5,3,0,1,1,3,4,8.9069,979.993001,755.829863,529.217832,1164,72,1025,6554,55,2546,29,11507,16,12450,63723,-1,1,359,10560.801368,15276.902799,14995.983112,39.5189,1315.600375,6836.105252,41927.759305,0.0,BENIGN,True
40023.420825,178,144,1771.315846,14885.252798,27.882482,299.6229,1368.032559,270.5867,1164.255177,1485.480462,629.785583,347.9473,462744.81232,3870.63615,14900.369191,15909.10416,48694.846749,335.0062,331.5305,345.0983,439.8826,293.470353,57.6942,660.5643,254.4072,265.017,2822.91912,35.1544,1,0,0,1,178,137,5510.85738,8049.629819,169.494981,717.492674,874.944949,343.5967,40183.443539,4,1,5,3,2,2,3,4,2.1253,105.646861,38.615128,1216.876726,240,58,3278,7976,23,9500,10,1482,26,18523,16549,-1,2,1078,10551.548873,14675.145872,53448.636369,64.8401,16445.058461,19402.727614,58064.586194,0.0,BENIGN,True
58105.665203,140,144,12772.949354,12682.34801,1130.827985,559.937821,834.886913,121.0516,467.480286,1435.016719,1379.029899,198.1334,27444.552634,3824.986959,18257.342252,2351.877177,6539.19735,619.9977,208.4128,505.4683,663.9321,635.59662,7.4235,17.0986,155.7181,823.9655,4753.641619,48.288,1,0,1,0,187,174,2579.47414,4573.341656,227.855547,367.248858,2.786057,301.1667,91498.383162,4,2,2,3,4,2,2,0,0.1099,235.115507,722.555686,13.979802,9581,12,9970,1712,69,3598,1,1553,32,3807,-1,58054,5,491,12975.660622,15578.291648,27826.658135,87.7057,11254.498698,14199.929149,51526.350436,0.0,BENIGN,True
